0,1,2,3,4
54.0,35.0,157.0,236.0,53.0
24.0,234.0,4.0,145.0,555.0
2.0,245.0,166.0,67.0,888.0
11.0,62.0,103.0,145.0,21.0
58.0,91.0,101.0,145.0,888.0
83.0,104.0,25.0,18.0,350.0
131.0,126.0,157.0,202.0,43.0
114.0,19.0,4.0,498.0,235.0
164.0,141.0,81.0,51.0,50.0
114.0,30.0,238.0,202.0,101.0
86.0,121.0,105.0,360.0,99.0
777.0,141.0,103.0,21.0,25.0
62.0,76.0,161.0,81.0,350.0
429.0,11.0,268.0,51.0,497.0
875.0,9.0,517.0,51.0,111.0
54.0,104.0,99.0,222.0,518.0
875.0,104.0,115.0,222.0,143.0
36.0,11.0,112.0,51.0,99.0
10.0,106.0,91.0,145.0,350.0
166.0,35.0,103.0,236.0,555.0
141.0,19.0,39.0,81.0,134.0
41.0,234.0,517.0,202.0,101.0
75.0,62.0,7.0,22.0,117.0
36.0,81.0,777.0,19.0,99.0
92.0,91.0,81.0,39.0,235.0
74.0,11.0,84.0,67.0,16.0
777.0,104.0,7.0,429.0,518.0
84.0,56.0,24.0,498.0,25.0
82.0,421.0,7.0,81.0,888.0
236.0,234.0,103.0,145.0,89.0
164.0,141.0,20.0,360.0,555.0
84.0,104.0,13.0,145.0,350.0
875.0,104.0,20.0,96.0,267.0
67.0,19.0,7.0,119.0,350.0
266.0,91.0,45.0,145.0,350.0
114.0,81.0,3.0,64.0,43.0
84.0,29.0,10.0,429.0,555.0
17.0,154.0,103.0,67.0,80.0
39.0,33.0,69.0,81.0,63.0
126.0,35.0,777.0,110.0,53.0
75.0,2.0,238.0,22.0,50.0
122.0,11.0,8.0,18.0,154.0
10.0,56.0,103.0,145.0,25.0
107.0,131.0,20.0,81.0,117.0
875.0,35.0,54.0,81.0,235.0
141.0,238.0,777.0,523.0,142.0
254.0,876.0,80.0,81.0,518.0
56.0,104.0,163.0,29.0,12.0
223.0,11.0,61.0,145.0,53.0
104.0,56.0,103.0,523.0,555.0
