,matchID,championID,position,win,kda
12824,KR_5996874449,201,UTILITY,False,0.2
12825,KR_5996874449,39,TOP,True,3.5
12826,KR_5996874449,234,JUNGLE,True,12.0
12827,KR_5996874449,8,MIDDLE,True,2.0
12828,KR_5996874449,429,BOTTOM,True,5.5
12829,KR_5996874449,111,UTILITY,True,13.0
12830,KR_5996789558,150,TOP,True,12.0
12831,KR_5996789558,64,JUNGLE,True,14.0
12832,KR_5996789558,103,MIDDLE,True,6.0
12833,KR_5996789558,96,BOTTOM,True,3.5
12834,KR_5996789558,497,UTILITY,True,6.0
12835,KR_5996789558,39,TOP,False,0.14285714285714285
12836,KR_5996789558,163,JUNGLE,False,0.8333333333333334
12837,KR_5996789558,112,MIDDLE,False,0.3333333333333333
12838,KR_5996789558,81,BOTTOM,False,0.8
12839,KR_5996789558,12,UTILITY,False,0.6666666666666666
12840,KR_5936546897,41,TOP,True,7.0
12841,KR_5936546897,56,JUNGLE,True,2.0
12842,KR_5936546897,142,MIDDLE,True,24.0
12843,KR_5936546897,236,BOTTOM,True,13.0
12844,KR_5936546897,888,UTILITY,True,9.5
12845,KR_5936546897,84,TOP,False,0.8
12846,KR_5936546897,104,JUNGLE,False,1.6666666666666667
12847,KR_5936546897,517,MIDDLE,False,0.5
12848,KR_5936546897,21,BOTTOM,False,1.0
12849,KR_5936546897,40,UTILITY,False,1.0
12850,KR_5934957820,150,TOP,True,1.1666666666666667
12851,KR_5934957820,104,JUNGLE,True,11.0
12852,KR_5934957820,163,MIDDLE,True,5.0
12853,KR_5934957820,145,BOTTOM,True,9.5
12854,KR_5934957820,53,UTILITY,True,16.0
12855,KR_5934957820,103,MIDDLE,False,0.8333333333333334
12856,KR_5934957820,19,JUNGLE,False,1.8
12857,KR_5934957820,111,UTILITY,False,0.42857142857142855
12858,KR_5934957820,81,BOTTOM,False,6.0
12859,KR_5934957820,114,TOP,False,0.625
12860,KR_6006940873,117,TOP,True,3.0
12861,KR_6006940873,76,JUNGLE,True,10.0
12862,KR_6006940873,246,MIDDLE,True,5.0
12863,KR_6006940873,81,BOTTOM,True,1.75
12864,KR_6006940873,497,UTILITY,True,11.0
12865,KR_6006940873,113,TOP,False,0.5
12866,KR_6006940873,234,JUNGLE,False,0.6
12867,KR_6006940873,517,MIDDLE,False,1.0
12868,KR_6006940873,523,BOTTOM,False,1.3333333333333333
12869,KR_6006940873,32,UTILITY,False,0.8
12870,KR_5935031494,85,TOP,False,2.4
12871,KR_5935031494,104,JUNGLE,False,1.7777777777777777
12872,KR_5935031494,7,MIDDLE,False,1.8571428571428572
12873,KR_5935031494,18,BOTTOM,False,3.4
12874,KR_5935031494,350,UTILITY,False,6.333333333333333
12875,KR_5935031494,114,TOP,True,2.75
12876,KR_5935031494,234,JUNGLE,True,1.125
